,val_accuracy,accuracy,val_loss,loss
0,0.5199999809265137,0.5533333420753479,0.6682289242744446,0.6748837232589722
1,0.6399999856948853,0.6666666865348816,0.6545303463935852,0.665536105632782
2,0.7599999904632568,0.6549999713897705,0.6337425708770752,0.6500071883201599
3,0.7799999713897705,0.8066666722297668,0.6036540865898132,0.6284441947937012
4,0.7200000286102295,0.7666666507720947,0.568423330783844,0.6000440716743469
5,0.8600000143051147,0.8399999737739563,0.5043550729751587,0.5504516363143921
6,0.8600000143051147,0.8316666483879089,0.4347207248210907,0.4978425204753876
7,0.8999999761581421,0.8316666483879089,0.37733080983161926,0.43973079323768616
8,0.8799999952316284,0.824999988079071,0.3402118980884552,0.414262980222702
9,0.800000011920929,0.8450000286102295,0.37749183177948,0.3746165335178375
10,0.8999999761581421,0.846666693687439,0.30507123470306396,0.3636968731880188
11,0.8999999761581421,0.871666669845581,0.2682640552520752,0.33231738209724426
12,0.8999999761581421,0.8816666603088379,0.24967670440673828,0.31802916526794434
13,0.8999999761581421,0.878333330154419,0.25004643201828003,0.31088486313819885
14,0.9200000166893005,0.8816666603088379,0.22623594105243683,0.30223020911216736
15,0.9200000166893005,0.8899999856948853,0.2176380753517151,0.2841774821281433
16,0.9200000166893005,0.8999999761581421,0.21554559469223022,0.27134576439857483
17,0.9200000166893005,0.8983333110809326,0.20305006206035614,0.26515448093414307
18,0.8999999761581421,0.8916666507720947,0.23234423995018005,0.2635900378227234
19,0.9200000166893005,0.8916666507720947,0.20731967687606812,0.26621732115745544
20,0.9200000166893005,0.8949999809265137,0.1833178699016571,0.2556314170360565
21,0.9200000166893005,0.92166668176651,0.2023918181657791,0.2389795482158661
22,0.9200000166893005,0.9150000214576721,0.18340064585208893,0.23882034420967102
23,0.9599999785423279,0.9100000262260437,0.16264471411705017,0.230838343501091
24,0.9200000166893005,0.8949999809265137,0.23148471117019653,0.24044786393642426
25,0.9200000166893005,0.9116666913032532,0.15733468532562256,0.23403620719909668
